OBSERVATION_ID,TARGET_NAME,START_TIME,INSTRUMENT_NAME,RA,DEC,OBSERVER,PROPOSAL_ID,AOR,PROP_END,OBSSTATE,DURATION,OBSERVING_MODE_OID,SPG_ID,OD_NUMBER,STATUS,DISTANCE
1342200112,GAMA12_rn1,2010-07-07 18:59:57.0,PACS,175.27573401977378,-0.5542512798803725,seales01,KPOT_seales01_2,GAMA12_ro1,2011-07-07 18:59:57.0,LEVEL2_5_PROCESSED,26960.0,SpirePacsParallel,SPG v14.2.0,420,PASSED,
1342200113,GAMA12_rn1,2010-07-08 02:31:14.0,PACS,175.27573401977378,-0.5542512798803725,seales01,KPOT_seales01_2,GAMA12_rn1,2011-07-08 02:31:14.0,LEVEL2_5_PROCESSED,24690.0,SpirePacsParallel,SPG v14.2.0,420,PASSED,
1342200121,GAMA12_rn2,2010-07-08 15:59:49.0,SPIRE,178.24798678332903,-0.49795523050086177,seales01,KPOT_seales01_2,GAMA12_ro2,2011-07-08 15:59:49.0,LEVEL2_5_PROCESSED,26960.0,SpirePacsParallel,SPG v14.1.0,421,PASSED,
1342200122,GAMA12_rn2,2010-07-08 23:29:13.357,PACS,178.40668425583857,-0.5572753222266618,seales01,KPOT_seales01_2,GAMA12_rn2,2011-07-08 23:29:13.357,LEVEL2_PROCESSED,24796.8,SpirePacsParallel,SPG v14.2.0,421,PASSED,
1342211317,GAMA12_rn3,2010-12-19 16:27:39.0,SPIRE,181.37361686227362,-0.50088262729126,seales01,KPOT_seales01_2,GAMA12_ro3,2011-12-15 00:00:00.0,LEVEL2_5_PROCESSED,26960.0,SpirePacsParallel,SPG v14.1.0,585,PASSED,
1342211318,GAMA12_rn3,2010-12-19 23:58:56.0,SPIRE,181.37118545146242,-0.5010541543771414,seales01,KPOT_seales01_2,GAMA12_rn3,2011-12-15 00:00:00.0,LEVEL2_5_PROCESSED,24690.0,SpirePacsParallel,SPG v14.1.0,585,PASSED,
1342211368,GAMA12_rn4,2010-12-20 16:08:58.0,SPIRE,185.79916638345213,1.7627710809158734,seales01,KPOT_seales01_2,GAMA12_ro4,2011-12-15 00:00:00.0,LEVEL2_PROCESSED,26960.0,SpirePacsParallel,SPG v14.1.0,586,FAILED,
1342211369,GAMA12_rn4,2010-12-20 23:40:15.0,SPIRE,186.2373790149741,2.070391550239236,seales01,KPOT_seales01_2,GAMA12_rn4,2011-12-15 00:00:00.0,LEVEL2_PROCESSED,24690.0,SpirePacsParallel,SPG v14.1.0,586,FAILED,
1342222625,GAMA12_rn4,2011-06-15 00:29:49.0,SPIRE,184.6251304152783,-0.4989872622101823,seales01,KPOT_seales01_2,GAMA12_ro4 - resched,2011-12-15 00:00:00.0,LEVEL2_5_PROCESSED,26960.0,SpirePacsParallel,SPG v14.1.0,762,PASSED,
1342224030,GAMA12_rn3_patchup,2011-07-13 09:53:48.0,PACS,181.93566351683498,-1.7672031726005206,seales01,KPOT_seales01_2,GAMA12_ro3  - patchup,2012-01-13 00:00:00.0,LEVEL2_PROCESSED,15232.0,SpirePacsParallel,SPG v14.2.0,790,PASSED,
1342224138,GAMA12_rn4,2011-07-15 18:22:38.0,SPIRE,184.6225468249969,-0.4978468858327794,seales01,KPOT_seales01_2,GAMA12_rn4 - resched,2012-01-15 00:00:00.0,LEVEL2_5_PROCESSED,24690.0,SpirePacsParallel,SPG v14.1.0,793,PASSED,
