OBSERVATION_ID,TARGET_NAME,RA,DEC,INSTRUMENT_NAME,SEARCH_KEY,OD_NUMBER,PROPOSAL_ID,PROP_END,AOR,SPG_ID,OBSSTATE,START_TIME,DURATION,DISTANCE
1342231129,HATLAS-GAMA09-2-1,137.67907502878683,-0.05558016502369,,,888,OT1_rivison_1,2012-04-18 15:13:21.0,PPhoto-0009,SPG v14.2.0,LEVEL2_5_PROCESSED,2011-10-18 15:13:21.0,276.0,
1342231130,HATLAS-GAMA09-2-1,137.67907502878683,-0.05558016502369,,,888,OT1_rivison_1,2012-04-18 15:19:00.0,PPhoto-0009b,SPG v14.2.0,LEVEL2_5_PROCESSED,2011-10-18 15:19:00.0,276.0,
1342232220,HATLAS-GAMA9-ID97,127.71260685012224,1.5412627144703115,,,911,OT1_rivison_1,2012-05-10 23:25:12.0,PPhoto-0018,SPG v14.2.0,LEVEL2_5_PROCESSED,2011-11-10 23:25:12.0,276.0,
1342232221,HATLAS-GAMA9-ID97,127.71260685012224,1.5412627144703115,,,911,OT1_rivison_1,2012-05-10 23:30:51.0,PPhoto-0018b,SPG v14.2.0,LEVEL2_5_PROCESSED,2011-11-10 23:30:51.0,276.0,
1342233246,HATLAS-GAMA9-326,139.6695647551291,2.5135455586516446,,,928,OT1_rivison_1,2012-05-28 00:21:09.0,PPhoto-0021,SPG v14.2.0,LEVEL2_5_PROCESSED,2011-11-28 00:21:09.0,276.0,
1342233247,HATLAS-GAMA9-326,139.6695647551291,2.5135455586516446,,,928,OT1_rivison_1,2012-05-28 00:26:48.0,PPhoto-0021b,SPG v14.2.0,LEVEL2_5_PROCESSED,2011-11-28 00:26:48.0,276.0,
1342233400,HATLAS-GAMA09-3-1,135.7620557610504,-1.7069200900781227,,,932,OT1_rivison_1,2012-06-02 00:28:57.0,PPhoto-0010,SPG v14.2.0,LEVEL2_5_PROCESSED,2011-12-02 00:28:57.0,276.0,
1342233401,HATLAS-GAMA09-3-1,135.7620557610504,-1.7069200900781227,,,932,OT1_rivison_1,2012-06-02 00:34:36.0,PPhoto-0010b,SPG v14.2.0,LEVEL2_5_PROCESSED,2011-12-02 00:34:36.0,276.0,
1342233402,HATLAS-GAMA09-1-1,136.91690643768018,-0.6992951010279312,,,932,OT1_rivison_1,2012-06-02 00:40:26.0,PPhoto-0008,SPG v14.2.0,LEVEL2_5_PROCESSED,2011-12-02 00:40:26.0,276.0,
1342233403,HATLAS-GAMA09-1-1,136.91690643768018,-0.6992951010279312,,,932,OT1_rivison_1,2012-06-02 00:46:05.0,PPhoto-0008b,SPG v14.2.0,LEVEL2_5_PROCESSED,2011-12-02 00:46:05.0,276.0,
1342244274,HATLAS-GAMA9-124-1,132.38822239870333,2.2452108850458634,,,1065,OT1_rivison_1,2012-10-13 06:03:03.0,PPhoto-0012 - 0001,SPG v14.2.0,LEVEL2_5_PROCESSED,2012-04-13 06:03:03.0,276.0,
1342244275,HATLAS-GAMA9-124-1,132.38822239870333,2.2452108850458634,,,1065,OT1_rivison_1,2012-10-13 06:08:42.0,PPhoto-0012b - 0001,SPG v14.2.0,LEVEL2_5_PROCESSED,2012-04-13 06:08:42.0,276.0,
1342244892,HATLAS-GAMA9-ID40,133.4951939528543,1.9272857020359468,,,1076,OT1_rivison_1,2012-10-24 08:25:08.0,PPhoto-0024,SPG v14.2.0,LEVEL2_5_PROCESSED,2012-04-24 08:25:08.0,276.0,
1342244893,HATLAS-GAMA9-ID40,133.4951939528543,1.9272857020359468,,,1076,OT1_rivison_1,2012-10-24 08:30:47.0,PPhoto-0024b,SPG v14.2.0,LEVEL2_5_PROCESSED,2012-04-24 08:30:47.0,276.0,
