OBSERVATION_ID,TARGET_NAME,START_TIME,INSTRUMENT_NAME,RA,DEC,OBSERVER,PROPOSAL_ID,AOR,PROP_END,OBSSTATE,DURATION,OBSERVING_MODE_OID,SPG_ID,OD_NUMBER,STATUS,DISTANCE
1342189003,XMM-LSS-Centre,2010-01-05 01:30:21.0,PACS,35.49200351686511,-4.424005090376083,soliver,KPGT_soliver_1,Level-6 XMM-LSS Centre Ort,2011-01-05 01:30:21.0,LEVEL2_PROCESSED,31268.0,SpirePacsParallel,SPG v14.0.1,236,PASSED,
1342189004,XMM-LSS East,2010-01-05 10:13:34.0,PACS,36.95139837877987,-5.004516659828125,soliver,KPGT_soliver_1,Level-6 XMM-LSS East,2011-01-05 10:13:34.0,LEVEL2_PROCESSED,24689.0,SpirePacsParallel,SPG v14.0.1,236,PASSED,
1342189031,XMM-LSS West,2010-01-05 20:23:31.0,PACS,34.03012159871487,-3.8539800718758026,soliver,KPGT_soliver_1,Level-6 XMM-LSS West,2011-01-05 20:23:31.0,LEVEL2_PROCESSED,25259.0,SpirePacsParallel,SPG v14.0.1,237,PASSED,
1342190313,XMM-LSS-Centre,2010-02-08 09:57:19.0,PACS,35.50701953967803,-4.459637706556703,soliver,KPGT_soliver_1,Level-6 XMM-LSS Centre,2011-02-08 09:57:19.0,LEVEL2_PROCESSED,31268.0,SpirePacsParallel,SPG v14.0.1,270,PENDING,
1342190324,XMM-LSS South,2010-02-08 20:15:02.0,PACS,34.73297602855523,-5.761376476983574,soliver,KPGT_soliver_1,Level-6 XMM-LSS South,2011-02-08 20:15:02.0,LEVEL2_PROCESSED,25259.0,SpirePacsParallel,SPG v14.0.1,271,PENDING,
1342190325,XMM-LSS North,2010-02-09 03:17:14.0,PACS,36.20274581147666,-3.110903530194866,soliver,KPGT_soliver_1,Level-6 XMM-LSS North,2011-02-09 03:17:14.0,LEVEL2_PROCESSED,25259.0,SpirePacsParallel,SPG v14.0.1,271,PASSED,
1342213032,XMM–LSS J02182-05102,2011-01-19 13:07:36.0,PACS,34.58276204890557,-5.173537986354598,baltieri,GT1_baltieri_3,PPhoto-XMM–LSS J02182-05102 - 45,2011-12-15 00:00:00.0,LEVEL2_PROCESSED,8541.0,PacsPhoto,SPG v14.0.1,616,,
1342213033,XMM–LSS J02182-05102,2011-01-19 15:31:00.0,PACS,34.58265505092079,-5.173126235040745,baltieri,GT1_baltieri_3,PPhoto-XMM–LSS J02182-05102 - 135,2011-12-15 00:00:00.0,LEVEL2_PROCESSED,8541.0,PacsPhoto,SPG v14.0.1,616,,
1342213034,XMM–LSS J02182-05102-1,2011-01-19 17:54:24.0,PACS,34.58267176869101,-5.1752783097970845,baltieri,GT1_baltieri_3,PPhoto-XMM–LSS J02182-05102 - 225,2011-12-15 00:00:00.0,LEVEL2_PROCESSED,8541.0,PacsPhoto,SPG v14.0.1,616,,
1342213035,XMM–LSS J02182-05102-1,2011-01-19 20:17:48.0,PACS,34.586665772271274,-5.173076194693463,baltieri,GT1_baltieri_3,PPhoto-XMM–LSS J02182-05102 - 315,2011-12-15 00:00:00.0,LEVEL2_PROCESSED,8541.0,PacsPhoto,SPG v14.0.1,616,,
1342213952,UDS-SCUBA-0-7.5,2011-02-08 19:16:16.0,PACS,34.39672287405045,-5.164921460912251,soliver,KPGT_soliver_1,PACS Level-3 UDS-SCUBA - forward 4,2011-12-15 00:00:00.0,LEVEL2_PROCESSED,3689.0,PacsPhoto,SPG v14.0.1,636,PASSED,
1342213953,UDS-SCUBA-0+7.5,2011-02-08 20:18:48.0,PACS,34.3967803911762,-5.164498797522715,soliver,KPGT_soliver_1,PACS Level-3 UDS-SCUBA - cross forward  4,2011-12-15 00:00:00.0,LEVEL2_PROCESSED,3689.0,PacsPhoto,SPG v14.0.1,636,PASSED,
1342213954,UDS-SCUBA-0+10.5,2011-02-08 21:21:20.0,PACS,34.39288258430433,-5.1596458484535725,soliver,KPGT_soliver_1,PACS Level-3 UDS-SCUBA - backward  4,2011-12-15 00:00:00.0,LEVEL2_PROCESSED,3689.0,PacsPhoto,SPG v14.0.1,636,PASSED,
1342213955,UDS-SCUBA+7.5+10.5,2011-02-08 22:23:52.0,PACS,34.39679667811107,-5.1568143986539665,soliver,KPGT_soliver_1,PACS Level-3 UDS-SCUBA - cross backward  4,2011-12-15 00:00:00.0,LEVEL2_PROCESSED,3689.0,PacsPhoto,SPG v14.0.1,636,PASSED,
1342213956,UDS-SCUBA+7.5+7.5,2011-02-08 23:26:24.0,PACS,34.400547391574996,-5.160572165805888,soliver,KPGT_soliver_1,PACS Level-3 UDS-SCUBA - forward 5,2011-12-15 00:00:00.0,LEVEL2_PROCESSED,3689.0,PacsPhoto,SPG v14.0.1,636,PASSED,
1342213957,UDS-SCUBA+7.5+0,2011-02-09 00:28:56.0,PACS,34.396711097679436,-5.16455198414771,soliver,KPGT_soliver_1,PACS Level-3 UDS-SCUBA - cross forward  5,2011-12-15 00:00:00.0,LEVEL2_PROCESSED,3689.0,PacsPhoto,SPG v14.0.1,636,PASSED,
1342213958,UDS-SCUBA+10.5-10.5,2011-02-09 01:31:28.0,PACS,34.40343709894643,-5.165706580180539,soliver,KPGT_soliver_1,PACS Level-3 UDS-SCUBA - forward 6,2011-12-15 00:00:00.0,LEVEL2_PROCESSED,3689.0,PacsPhoto,SPG v14.0.1,636,PASSED,
1342213959,UDS-SCUBA+7.5-7.5,2011-02-09 02:34:00.0,PACS,34.39499194150675,-5.164799104247444,soliver,KPGT_soliver_1,PACS Level-3 UDS-SCUBA - backward  5,2011-12-15 00:00:00.0,LEVEL2_PROCESSED,3689.0,PacsPhoto,SPG v14.0.1,636,PASSED,
1342213960,UDS-SCUBA+7.5-10.5,2011-02-09 03:36:32.0,PACS,34.39888670009843,-5.161745393301091,soliver,KPGT_soliver_1,PACS Level-3 UDS-SCUBA - cross backward  5,2011-12-15 00:00:00.0,LEVEL2_PROCESSED,3689.0,PacsPhoto,SPG v14.0.1,636,PASSED,
