OBSERVATION_ID,TARGET_NAME,START_TIME,INSTRUMENT_NAME,RA,DEC,OBSERVER,PROPOSAL_ID,AOR,PROP_END,OBSSTATE,DURATION,OBSERVING_MODE_OID,SPG_ID,OD_NUMBER,STATUS,DISTANCE
1342189003,XMM-LSS-Centre,2010-01-05 01:30:21.0,PACS,35.49200351686511,-4.424005090376083,soliver,KPGT_soliver_1,Level-6 XMM-LSS Centre Ort,2011-01-05 01:30:21.0,LEVEL2_PROCESSED,31268.0,SpirePacsParallel,SPG v14.0.1,236,PASSED,
1342189004,XMM-LSS East,2010-01-05 10:13:34.0,PACS,36.95139837877987,-5.004516659828125,soliver,KPGT_soliver_1,Level-6 XMM-LSS East,2011-01-05 10:13:34.0,LEVEL2_PROCESSED,24689.0,SpirePacsParallel,SPG v14.0.1,236,PASSED,
1342189031,XMM-LSS West,2010-01-05 20:23:31.0,PACS,34.03012159871487,-3.8539800718758026,soliver,KPGT_soliver_1,Level-6 XMM-LSS West,2011-01-05 20:23:31.0,LEVEL2_PROCESSED,25259.0,SpirePacsParallel,SPG v14.0.1,237,PASSED,
1342190313,XMM-LSS-Centre,2010-02-08 09:57:19.0,PACS,35.50701953967803,-4.459637706556703,soliver,KPGT_soliver_1,Level-6 XMM-LSS Centre,2011-02-08 09:57:19.0,LEVEL2_PROCESSED,31268.0,SpirePacsParallel,SPG v14.0.1,270,PENDING,
1342190324,XMM-LSS South,2010-02-08 20:15:02.0,PACS,34.73297602855523,-5.761376476983574,soliver,KPGT_soliver_1,Level-6 XMM-LSS South,2011-02-08 20:15:02.0,LEVEL2_PROCESSED,25259.0,SpirePacsParallel,SPG v14.0.1,271,PENDING,
1342190325,XMM-LSS North,2010-02-09 03:17:14.0,PACS,36.20274581147666,-3.110903530194866,soliver,KPGT_soliver_1,Level-6 XMM-LSS North,2011-02-09 03:17:14.0,LEVEL2_PROCESSED,25259.0,SpirePacsParallel,SPG v14.0.1,271,PASSED,
1342223213,video-xmm3,2011-06-27 19:58:19.0,PACS,36.426689588227504,-4.814089816180532,soliver,KPGT_soliver_1,Level-5 Video3 small nom,2011-12-27 00:00:00.0,LEVEL2_PROCESSED,11330.0,SpirePacsParallel,SPG v14.0.1,775,PASSED,
1342223214,video-XMM2,2011-06-27 23:08:25.0,PACS,35.34408495670181,-4.890903855568162,soliver,KPGT_soliver_1,Level-5 Video2 small nom - copy,2011-12-28 00:00:00.0,LEVEL2_PROCESSED,7610.0,SpirePacsParallel,SPG v14.0.1,775,PASSED,
1342223215,video-XMM2,2011-06-28 01:16:25.0,PACS,35.33383911034494,-4.878628283654385,soliver,KPGT_soliver_1,Level-5 Video2 small orth,2011-12-28 00:00:00.0,LEVEL2_PROCESSED,7178.0,SpirePacsParallel,SPG v14.0.1,775,PASSED,
1342223216,video-XMM2,2011-06-28 03:17:13.0,PACS,35.35182935954284,-4.868637483416733,soliver,KPGT_soliver_1,Level-5 Video2 small nom,2011-12-28 00:00:00.0,LEVEL2_PROCESSED,7610.0,SpirePacsParallel,SPG v14.0.1,775,PASSED,
1342223217,video-xmm1,2011-06-28 05:25:13.0,PACS,34.25864528214473,-4.927504502131073,soliver,KPGT_soliver_1,Level-5 Video1 small orth,2011-12-28 00:00:00.0,LEVEL2_PROCESSED,11654.0,SpirePacsParallel,SPG v14.0.1,775,PASSED,
1342223218,video-xmm1,2011-06-28 08:40:54.0,PACS,34.279462392279136,-4.932702703292573,soliver,KPGT_soliver_1,Level-5 Video1 small orth - copy,2011-12-28 00:00:00.0,LEVEL2_PROCESSED,11654.0,SpirePacsParallel,SPG v14.0.1,775,PASSED,
1342223219,video-XMM2,2011-06-28 11:56:21.0,PACS,35.35507903047019,-4.882826451428849,soliver,KPGT_soliver_1,Level-5 Video2 small orth - copy,2011-12-28 00:00:00.0,LEVEL2_PROCESSED,7178.0,SpirePacsParallel,SPG v14.0.1,775,PASSED,
1342223265,video-xmm1,2011-06-28 22:35:55.0,PACS,34.27593689258117,-4.916915100609387,soliver,KPGT_soliver_1,Level-5 Video1 small nom,2011-12-29 00:00:00.0,LEVEL2_PROCESSED,11330.0,SpirePacsParallel,SPG v14.0.1,776,PASSED,
1342223266,video-xmm1,2011-06-29 01:46:03.0,PACS,34.26777378996505,-4.938877300921125,soliver,KPGT_soliver_1,Level-5 Video1 small nom - copy,2011-12-29 00:00:00.0,LEVEL2_PROCESSED,11330.0,SpirePacsParallel,SPG v14.0.1,776,PASSED,
1342223267,video-xmm3,2011-06-29 04:56:34.0,PACS,36.41853099163797,-4.823795207025305,soliver,KPGT_soliver_1,Level-5 Video3 small nom - copy,2011-12-29 00:00:00.0,LEVEL2_PROCESSED,11330.0,SpirePacsParallel,SPG v14.0.1,776,PASSED,
1342223268,video-xmm3,2011-06-29 08:06:34.0,PACS,36.40926079712949,-4.810887658267704,soliver,KPGT_soliver_1,Level-5 Video3 small orth,2011-12-29 00:00:00.0,LEVEL2_PROCESSED,11654.0,SpirePacsParallel,SPG v14.0.1,776,PASSED,
1342223269,video-xmm3,2011-06-29 11:22:15.0,PACS,36.42989611741843,-4.816066098240426,soliver,KPGT_soliver_1,Level-5 Video3 small orth - copy,2011-12-29 00:00:00.0,LEVEL2_PROCESSED,11654.0,SpirePacsParallel,SPG v14.0.1,776,PASSED,
